Gene,locus_tag(gene),old_locus_tag(gene),locus_tag(cds),old_locus_tag(cds),codonStart,translTable,product,protein _id,Unnamed: 9
gene=complement(12409..12915),"locus_tag=""MXAN_RS00065""","old_locus_tag=""MXAN_0012""","locus_tag=""MXAN_RS00065""","old_locus_tag=""MXAN_0012""",codon_start=1,transl_table=11,"product=""DoxX family protein""","protein_id=""WP_026113905.1"" ",
gene=13129..14049,"locus_tag=""MXAN_RS00070""","old_locus_tag=""MXAN_0013""","locus_tag=""MXAN_RS00070""","old_locus_tag=""MXAN_0013""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_225909664.1"" ",
gene=complement(14066..14845),"locus_tag=""MXAN_RS00075""","old_locus_tag=""MXAN_0014""","locus_tag=""MXAN_RS00075""","old_locus_tag=""MXAN_0014""",codon_start=1,transl_table=11,"product=""tRNA1(Val) (adenine(37)-N6)-methyltransferase""","protein_id=""WP_011550163.1"" ",
gene=15080..16390,"locus_tag=""MXAN_RS00080""","old_locus_tag=""MXAN_0015""","locus_tag=""MXAN_RS00080""","old_locus_tag=""MXAN_0015""",codon_start=1,transl_table=11,"product=""type II toxin-antitoxin system HipA family toxinYjjJ""","protein_id=""WP_011550164.1"" ",
gene=complement(16412..18307),"locus_tag=""MXAN_RS00085""","old_locus_tag=""MXAN_0016""","locus_tag=""MXAN_RS00085""","old_locus_tag=""MXAN_0016""",codon_start=1,transl_table=11,"product=""PHB depolymerase family esterase""","protein_id=""WP_011550165.1"" ",
gene=complement(18526..19494),"locus_tag=""MXAN_RS00090""","old_locus_tag=""MXAN_0017""","locus_tag=""MXAN_RS00090""","old_locus_tag=""MXAN_0017""",codon_start=1,transl_table=11,"product=""glutathione synthase""","protein_id=""WP_011550166.1"" ",
gene=complement(19574..21268),"locus_tag=""MXAN_RS00095""","old_locus_tag=""MXAN_0018""","locus_tag=""MXAN_RS00095""","old_locus_tag=""MXAN_0018""",codon_start=1,transl_table=11,"protein_id=""WP_020478634.1"" ",,
gene=complement(21644..21940),"locus_tag=""MXAN_RS00100""",,"locus_tag=""MXAN_RS00100""",,codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_020478635.1"" ",
gene=complement(21970..22266),"locus_tag=""MXAN_RS00105""",,"locus_tag=""MXAN_RS00105""",,codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_020478636.1"" ",
gene=22471..24672,"locus_tag=""MXAN_RS00110""","old_locus_tag=""MXAN_0019""","locus_tag=""MXAN_RS00110""","old_locus_tag=""MXAN_0019""",codon_start=1,transl_table=11,"product=""EB domain-containing protein""","protein_id=""WP_011550168.1"" ",
gene=complement(24666..25397),"locus_tag=""MXAN_RS00115""","old_locus_tag=""MXAN_0020""","locus_tag=""MXAN_RS00115""","old_locus_tag=""MXAN_0020""",codon_start=1,transl_table=11,"product=""DUF429 domain-containing protein""","protein_id=""WP_011550169.1"" ",
gene=complement(25822..27285),"locus_tag=""MXAN_RS00120""","old_locus_tag=""MXAN_0021""","locus_tag=""MXAN_RS00120""","old_locus_tag=""MXAN_0021""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_020478637.1"" ",
gene=complement(27440..28174),"locus_tag=""MXAN_RS00125""","old_locus_tag=""MXAN_0022""","locus_tag=""MXAN_RS00125""","old_locus_tag=""MXAN_0022""",codon_start=1,transl_table=11,"product=""head GIN domain-containing protein""","protein_id=""WP_216608954.1"" ",
gene=complement(28264..31071),"locus_tag=""MXAN_RS00130""","old_locus_tag=""MXAN_0023""","locus_tag=""MXAN_RS00130""","old_locus_tag=""MXAN_0023""",codon_start=1,transl_table=11,"protein_id=""WP_011550172.1"" ",,
gene=31391..33286,"locus_tag=""MXAN_RS00135""","old_locus_tag=""MXAN_0024""","locus_tag=""MXAN_RS00135""","old_locus_tag=""MXAN_0024""",codon_start=1,transl_table=11,"product=""ribonuclease R family protein""","protein_id=""WP_011550173.1"" ",
gene=33255..33941,"locus_tag=""MXAN_RS00140""","old_locus_tag=""MXAN_0025""","locus_tag=""MXAN_RS00140""","old_locus_tag=""MXAN_0025""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011550174.1"" ",
gene=33951..34370,"locus_tag=""MXAN_RS00145""","old_locus_tag=""MXAN_0026""","locus_tag=""MXAN_RS00145""","old_locus_tag=""MXAN_0026""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011550175.1"" ",
gene=complement(34381..35109),"locus_tag=""MXAN_RS00150""","old_locus_tag=""MXAN_0027""","locus_tag=""MXAN_RS00150""","old_locus_tag=""MXAN_0027""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_225909667.1"" ",
gene=complement(35219..35713),"locus_tag=""MXAN_RS00155""",,"locus_tag=""MXAN_RS00155""",,codon_start=1,transl_table=11,"product=""YkgJ family cysteine cluster protein""","protein_id=""WP_020478639.1"" ",
gene=36031..38070,"locus_tag=""MXAN_RS00160""","old_locus_tag=""MXAN_0029""","locus_tag=""MXAN_RS00160""","old_locus_tag=""MXAN_0029""",codon_start=1,transl_table=11,"product=""PilZ domain-containing protein""","protein_id=""WP_171452271.1"" ",
gene=complement(38087..39049),"locus_tag=""MXAN_RS00165""","old_locus_tag=""MXAN_0030""","locus_tag=""MXAN_RS00165""","old_locus_tag=""MXAN_0030""",codon_start=1,transl_table=11,"product=""NYN domain-containing protein""","protein_id=""WP_011550179.1"" ",
gene=39368..39937,"locus_tag=""MXAN_RS00170""","old_locus_tag=""MXAN_0031""","locus_tag=""MXAN_RS00170""","old_locus_tag=""MXAN_0031""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011550180.1"" ",
gene=39952..40524,"locus_tag=""MXAN_RS00175""","old_locus_tag=""MXAN_0032""","locus_tag=""MXAN_RS00175""","old_locus_tag=""MXAN_0032""",codon_start=1,transl_table=11,"product=""M48 family metallopeptidase""","protein_id=""WP_225909668.1"" ",
gene=40722..41213,"locus_tag=""MXAN_RS00180""","old_locus_tag=""MXAN_0033""","locus_tag=""MXAN_RS00180""","old_locus_tag=""MXAN_0033""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011550182.1"" ",
gene=complement(41220..41990),"locus_tag=""MXAN_RS00185""","old_locus_tag=""MXAN_0034""","locus_tag=""MXAN_RS00185""","old_locus_tag=""MXAN_0034""",codon_start=1,transl_table=11,"product=""HAD family phosphatase""","protein_id=""WP_011550183.1"" ",
gene=complement(42049..43059),"locus_tag=""MXAN_RS00190""","old_locus_tag=""MXAN_0035""","locus_tag=""MXAN_RS00190""","old_locus_tag=""MXAN_0035""",codon_start=1,transl_table=11,"product=""ABC transporter substrate-binding protein""","protein_id=""WP_011550184.1"" ",
gene=complement(43139..43900),"locus_tag=""MXAN_RS00195""","old_locus_tag=""MXAN_0036""","locus_tag=""MXAN_RS00195""","old_locus_tag=""MXAN_0036""",codon_start=1,transl_table=11,"product=""ABC transporter permease""","protein_id=""WP_011550185.1"" ",
gene=complement(43910..44809),"locus_tag=""MXAN_RS00200""","old_locus_tag=""MXAN_0037""","locus_tag=""MXAN_RS00200""","old_locus_tag=""MXAN_0037""",codon_start=1,transl_table=11,"product=""ABC transporter ATP-binding protein""","protein_id=""WP_026113906.1"" ",
gene=45008..45361,"locus_tag=""MXAN_RS00205""","old_locus_tag=""MXAN_0038""","locus_tag=""MXAN_RS00205""","old_locus_tag=""MXAN_0038""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_020478641.1"" ",
gene=complement(45388..45954),"locus_tag=""MXAN_RS00210""","old_locus_tag=""MXAN_0039""","locus_tag=""MXAN_RS00210""","old_locus_tag=""MXAN_0039""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_141276722.1"" ",
gene=46167..47252,"locus_tag=""MXAN_RS00215""","old_locus_tag=""MXAN_0040""","locus_tag=""MXAN_RS00215""","old_locus_tag=""MXAN_0040""",codon_start=1,transl_table=11,"product=""glucose 1-dehydrogenase""","protein_id=""WP_011550189.1"" ",
gene=47274..49139,"locus_tag=""MXAN_RS00220""","old_locus_tag=""MXAN_0041""","locus_tag=""MXAN_RS00220""","old_locus_tag=""MXAN_0041""",codon_start=1,transl_table=11,"product=""glycoside hydrolase family 15 protein""","protein_id=""WP_011550190.1"" ",
gene=complement(49156..51831),"locus_tag=""MXAN_RS00225""","old_locus_tag=""MXAN_0042""","locus_tag=""MXAN_RS00225""","old_locus_tag=""MXAN_0042""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011550191.1"" ",
gene=complement(51872..53212),"locus_tag=""MXAN_RS00230""","old_locus_tag=""MXAN_0043""","locus_tag=""MXAN_RS00230""","old_locus_tag=""MXAN_0043""",codon_start=1,transl_table=11,"product=""TIGR02270 family protein""","protein_id=""WP_011550192.1"" ",
gene=complement(53209..53673),"locus_tag=""MXAN_RS00235""","old_locus_tag=""MXAN_0044""","locus_tag=""MXAN_RS00235""","old_locus_tag=""MXAN_0044""",codon_start=1,transl_table=11,"product=""DUF4150 domain-containing protein""","protein_id=""WP_011550193.1"" ",
gene=53794..54915,"locus_tag=""MXAN_RS00240""","old_locus_tag=""MXAN_0045""","locus_tag=""MXAN_RS00240""","old_locus_tag=""MXAN_0045""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_043612111.1"" ",
gene=complement(54872..55456),"locus_tag=""MXAN_RS00245""","old_locus_tag=""MXAN_0046""","locus_tag=""MXAN_RS00245""","old_locus_tag=""MXAN_0046""",codon_start=1,transl_table=11,"product=""DUF1629 domain-containing protein""","protein_id=""WP_020478642.1"" ",
gene=complement(55489..56073),"locus_tag=""MXAN_RS00250""","old_locus_tag=""MXAN_0047""","locus_tag=""MXAN_RS00250""","old_locus_tag=""MXAN_0047""",codon_start=1,transl_table=11,"product=""DUF1629 domain-containing protein""","protein_id=""WP_026113908.1"" ",
gene=complement(56126..56482),"locus_tag=""MXAN_RS00255""","old_locus_tag=""MXAN_0048""","locus_tag=""MXAN_RS00255""","old_locus_tag=""MXAN_0048""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011550197.1"" ",
gene=complement(56489..57073),"locus_tag=""MXAN_RS00260""","old_locus_tag=""MXAN_0049""","locus_tag=""MXAN_RS00260""","old_locus_tag=""MXAN_0049""",codon_start=1,transl_table=11,"product=""DUF1629 domain-containing protein""","protein_id=""WP_011550198.1"" ",
gene=complement(57099..57971),"locus_tag=""MXAN_RS00265""","old_locus_tag=""MXAN_0050""","locus_tag=""MXAN_RS00265""","old_locus_tag=""MXAN_0050""",codon_start=1,transl_table=11,"product=""AHH domain-containing protein""","protein_id=""WP_026113909.1"" ",
gene=58046..58831,"locus_tag=""MXAN_RS00270""","old_locus_tag=""MXAN_0051""","locus_tag=""MXAN_RS00270""","old_locus_tag=""MXAN_0051""",codon_start=1,transl_table=11,"product=""immunity 49 family protein""","protein_id=""WP_011550200.1"" ",
gene=complement(58837..59880),"locus_tag=""MXAN_RS00275""","old_locus_tag=""MXAN_0052""","locus_tag=""MXAN_RS00275""","old_locus_tag=""MXAN_0052""",codon_start=1,transl_table=11,"product=""DUF2169 domain-containing protein""","protein_id=""WP_011550201.1"" ",
gene=59991..60509,"locus_tag=""MXAN_RS00280""","old_locus_tag=""MXAN_0053""","locus_tag=""MXAN_RS00280""","old_locus_tag=""MXAN_0053""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_225909669.1"" ",
gene=complement(60556..60996),"locus_tag=""MXAN_RS00285""","old_locus_tag=""MXAN_0054""","locus_tag=""MXAN_RS00285""","old_locus_tag=""MXAN_0054""",codon_start=1,transl_table=11,"product=""DUF6209 family protein""","protein_id=""WP_011550203.1"" ",
gene=61150..62271,"locus_tag=""MXAN_RS00290""","old_locus_tag=""MXAN_0055""","locus_tag=""MXAN_RS00290""","old_locus_tag=""MXAN_0055""",codon_start=1,transl_table=11,"product=""App1 family protein""","protein_id=""WP_026113910.1"" ",
gene=complement(62304..64466),"locus_tag=""MXAN_RS00295""","old_locus_tag=""MXAN_0056""","locus_tag=""MXAN_RS00295""","old_locus_tag=""MXAN_0056""",codon_start=1,transl_table=11,"product=""polyphosphate kinase 1""","protein_id=""WP_011550205.1"" ",
gene=64649..65146,"locus_tag=""MXAN_RS00300""","old_locus_tag=""MXAN_0057""","locus_tag=""MXAN_RS00300""","old_locus_tag=""MXAN_0057""",codon_start=1,transl_table=11,"product=""outer membrane protein assembly factor BamE""","protein_id=""WP_225909670.1"" ",
gene=65246..65800,"locus_tag=""MXAN_RS00305""","old_locus_tag=""MXAN_0058""","locus_tag=""MXAN_RS00305""","old_locus_tag=""MXAN_0058""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011550207.1"" ",
gene=complement(65872..68061),"locus_tag=""MXAN_RS00310""","old_locus_tag=""MXAN_0059""","locus_tag=""MXAN_RS00310""","old_locus_tag=""MXAN_0059""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011550208.1"" ",
gene=68306..70582,"locus_tag=""MXAN_RS00315""","old_locus_tag=""MXAN_0060""","locus_tag=""MXAN_RS00315""","old_locus_tag=""MXAN_0060""",codon_start=1,transl_table=11,"product=""ATP-binding protein""","protein_id=""WP_011550209.1"" ",
gene=complement(70592..71488),"locus_tag=""MXAN_RS00320""","old_locus_tag=""MXAN_0061""","locus_tag=""MXAN_RS00320""","old_locus_tag=""MXAN_0061""",codon_start=1,transl_table=11,"product=""MBL fold metallo-hydrolase""","protein_id=""WP_011550210.1"" ",
gene=complement(71629..72132),"locus_tag=""MXAN_RS00325""","old_locus_tag=""MXAN_0062""","locus_tag=""MXAN_RS00325""","old_locus_tag=""MXAN_0062""",codon_start=1,transl_table=11,"product=""cupin domain-containing protein""","protein_id=""WP_020477949.1"" ",
gene=complement(72317..73246),"locus_tag=""MXAN_RS00330""","old_locus_tag=""MXAN_0063""","locus_tag=""MXAN_RS00330""","old_locus_tag=""MXAN_0063""",codon_start=1,transl_table=11,"product=""TIGR02266 family protein""","protein_id=""WP_171452259.1"" ",
gene=complement(73389..74741),"locus_tag=""MXAN_RS00335""","old_locus_tag=""MXAN_0064""","locus_tag=""MXAN_RS00335""","old_locus_tag=""MXAN_0064""",codon_start=1,transl_table=11,"product=""RtcB family protein""","protein_id=""WP_011550213.1"" ",
gene=75019..75351,"locus_tag=""MXAN_RS00340""","old_locus_tag=""MXAN_0065""","locus_tag=""MXAN_RS00340""","old_locus_tag=""MXAN_0065""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_020477948.1"" ",
gene=75711..76625,"locus_tag=""MXAN_RS00345""","old_locus_tag=""MXAN_0068""","locus_tag=""MXAN_RS00345""","old_locus_tag=""MXAN_0068""",codon_start=1,transl_table=11,"product=""sigma-70 family RNA polymerase sigma factor""","protein_id=""WP_216608880.1"" ",
gene=76724..77047,"locus_tag=""MXAN_RS00350""",,"locus_tag=""MXAN_RS00350""",,codon_start=1,transl_table=11,"product=""pilus assembly protein N-terminaldomain-containing protein""","protein_id=""WP_081436777.1"" ",
gene=complement(<77828..77938),"locus_tag=""MXAN_RS38475""",,"locus_tag=""MXAN_RS38475""",,codon_start=1,,"product=""hypothetical protein"" ",,
gene=78128..79564,"locus_tag=""MXAN_RS00355""","old_locus_tag=""MXAN_0070""","locus_tag=""MXAN_RS00355""","old_locus_tag=""MXAN_0070""",codon_start=1,transl_table=11,"product=""protein kinase""","protein_id=""WP_011550217.1"" ",
gene=complement(79567..80298),"locus_tag=""MXAN_RS00360""","old_locus_tag=""MXAN_0071""","locus_tag=""MXAN_RS00360""","old_locus_tag=""MXAN_0071""",codon_start=1,transl_table=11,"product=""DUF4142 domain-containing protein""","protein_id=""WP_225909671.1"" ",
gene=complement(80456..80920),"locus_tag=""MXAN_RS00365""","old_locus_tag=""MXAN_0072""","locus_tag=""MXAN_RS00365""","old_locus_tag=""MXAN_0072""",codon_start=1,transl_table=11,"product=""PaaI family thioesterase""","protein_id=""WP_011550219.1"" ",
gene=complement(80917..81369),"locus_tag=""MXAN_RS00370""","old_locus_tag=""MXAN_0073""","locus_tag=""MXAN_RS00370""","old_locus_tag=""MXAN_0073""",codon_start=1,transl_table=11,"product=""PaaI family thioesterase""","protein_id=""WP_011550220.1"" ",
gene=complement(81438..82439),"locus_tag=""MXAN_RS00375""","old_locus_tag=""MXAN_0074""","locus_tag=""MXAN_RS00375""","old_locus_tag=""MXAN_0074""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011550221.1"" ",
gene=82600..86007,"locus_tag=""MXAN_RS00380""","old_locus_tag=""MXAN_0075""","locus_tag=""MXAN_RS00380""","old_locus_tag=""MXAN_0075""",codon_start=1,transl_table=11,"product=""amidohydrolase family protein""","protein_id=""WP_020477946.1"" ",
gene=86056..86520,"locus_tag=""MXAN_RS00385""","old_locus_tag=""MXAN_0076""","locus_tag=""MXAN_RS00385""","old_locus_tag=""MXAN_0076""",codon_start=1,transl_table=11,"product=""macro domain-containing protein""","protein_id=""WP_011550223.1"" ",
gene=86696..87862,"locus_tag=""MXAN_RS00390""","old_locus_tag=""MXAN_0077""","locus_tag=""MXAN_RS00390""","old_locus_tag=""MXAN_0077""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011550224.1"" ",
gene=complement(87914..88792),"locus_tag=""MXAN_RS00395""","old_locus_tag=""MXAN_0078""","locus_tag=""MXAN_RS00395""","old_locus_tag=""MXAN_0078""",codon_start=1,transl_table=11,"product=""SDR family oxidoreductase""","protein_id=""WP_011550225.1"" ",
gene=complement(88836..89504),"locus_tag=""MXAN_RS00400""","old_locus_tag=""MXAN_0079""","locus_tag=""MXAN_RS00400""","old_locus_tag=""MXAN_0079""",codon_start=1,transl_table=11,"protein_id=""WP_011550226.1"" ",,
gene=89570..91279,"locus_tag=""MXAN_RS00405""","old_locus_tag=""MXAN_0080""","locus_tag=""MXAN_RS00405""","old_locus_tag=""MXAN_0080""",codon_start=1,transl_table=11,"product=""acyclic terpene utilization AtuA family protein""","protein_id=""WP_026113913.1"" ",
gene=91284..92900,"locus_tag=""MXAN_RS00410""","old_locus_tag=""MXAN_0081""","locus_tag=""MXAN_RS00410""","old_locus_tag=""MXAN_0081""",codon_start=1,transl_table=11,"product=""acyl-CoA carboxylase subunit beta""","protein_id=""WP_011550228.1"" ",
gene=92915..94909,"locus_tag=""MXAN_RS00415""","old_locus_tag=""MXAN_0082""","locus_tag=""MXAN_RS00415""","old_locus_tag=""MXAN_0082""",codon_start=1,transl_table=11,"product=""acetyl-CoA carboxylase biotin carboxylasesubunit""","protein_id=""WP_011550229.1"" ",
gene=95005..96057,"locus_tag=""MXAN_RS00420""","old_locus_tag=""MXAN_0083""","locus_tag=""MXAN_RS00420""","old_locus_tag=""MXAN_0083""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011550230.1"" ",
gene=96070..96987,"locus_tag=""MXAN_RS00425""","old_locus_tag=""MXAN_0084""","locus_tag=""MXAN_RS00425""","old_locus_tag=""MXAN_0084""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011550231.1"" ",
gene=96996..97583,"locus_tag=""MXAN_RS00430""","old_locus_tag=""MXAN_0085""","locus_tag=""MXAN_RS00430""","old_locus_tag=""MXAN_0085""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011550232.1"" ",
gene=97598..98335,"locus_tag=""MXAN_RS00435""","old_locus_tag=""MXAN_0086""","locus_tag=""MXAN_RS00435""","old_locus_tag=""MXAN_0086""",codon_start=1,transl_table=11,"product=""immunity 49 family protein""","protein_id=""WP_011550233.1"" ",
gene=complement(98351..99553),"locus_tag=""MXAN_RS00440""","old_locus_tag=""MXAN_0087""","locus_tag=""MXAN_RS00440""","old_locus_tag=""MXAN_0087""",codon_start=1,transl_table=11,"product=""MFS transporter""","protein_id=""WP_011550234.1"" ",
gene=99616..100686,"locus_tag=""MXAN_RS00445""","old_locus_tag=""MXAN_0088""","locus_tag=""MXAN_RS00445""","old_locus_tag=""MXAN_0088""",codon_start=1,transl_table=11,"product=""isopenicillin N synthase family oxygenase""","protein_id=""WP_011550235.1"" ",
gene=100774..101418,"locus_tag=""MXAN_RS00450""","old_locus_tag=""MXAN_0089""","locus_tag=""MXAN_RS00450""","old_locus_tag=""MXAN_0089""",codon_start=1,transl_table=11,"product=""glutathione S-transferase family protein""","protein_id=""WP_011550236.1"" ",
gene=101508..102089,"locus_tag=""MXAN_RS00455""","old_locus_tag=""MXAN_0090""","locus_tag=""MXAN_RS00455""","old_locus_tag=""MXAN_0090""",codon_start=1,transl_table=11,"protein_id=""WP_011550237.1"" ",,
gene=102329..103465,"locus_tag=""MXAN_RS00460""","old_locus_tag=""MXAN_0091""","locus_tag=""MXAN_RS00460""","old_locus_tag=""MXAN_0091""",codon_start=1,transl_table=11,"product=""efflux RND transporter periplasmic adaptorsubunit""","protein_id=""WP_011550238.1"" ",
gene=103480..106620,"locus_tag=""MXAN_RS00465""","old_locus_tag=""MXAN_0092""","locus_tag=""MXAN_RS00465""","old_locus_tag=""MXAN_0092""",codon_start=1,transl_table=11,"product=""efflux RND transporter permease subunit""","protein_id=""WP_011550239.1"" ",
gene=complement(106672..107040),"locus_tag=""MXAN_RS00470""","old_locus_tag=""MXAN_0093""","locus_tag=""MXAN_RS00470""","old_locus_tag=""MXAN_0093""",codon_start=1,transl_table=11,"product=""metal-sulfur cluster assembly factor""","protein_id=""WP_011550240.1"" ",
gene=complement(107033..108109),"locus_tag=""MXAN_RS00475""","old_locus_tag=""MXAN_0094""","locus_tag=""MXAN_RS00475""","old_locus_tag=""MXAN_0094""",codon_start=1,transl_table=11,"product=""amidohydrolase family protein""","protein_id=""WP_011550241.1"" ",
gene=complement(108152..110428),"locus_tag=""MXAN_RS00480""","old_locus_tag=""MXAN_0095""","locus_tag=""MXAN_RS00480""","old_locus_tag=""MXAN_0095""",codon_start=1,transl_table=11,"product=""PAS domain S-box protein""","protein_id=""WP_171452258.1"" ",
gene=complement(110594..111340),"locus_tag=""MXAN_RS00485""","old_locus_tag=""MXAN_0096""","locus_tag=""MXAN_RS00485""","old_locus_tag=""MXAN_0096""",codon_start=1,transl_table=11,"product=""class I SAM-dependent methyltransferase""","protein_id=""WP_011550243.1"" ",
gene=complement(111354..112583),"locus_tag=""MXAN_RS00490""","old_locus_tag=""MXAN_0097""","locus_tag=""MXAN_RS00490""","old_locus_tag=""MXAN_0097""",codon_start=1,transl_table=11,"product=""type II toxin-antitoxin system HipA familytoxin""","protein_id=""WP_011550244.1"" ",
gene=complement(112585..114258),"locus_tag=""MXAN_RS00495""","old_locus_tag=""MXAN_0098""","locus_tag=""MXAN_RS00495""","old_locus_tag=""MXAN_0098""",codon_start=1,transl_table=11,"product=""DUF262 domain-containing protein""","protein_id=""WP_011550245.1"" ",
gene=114710..116215,"locus_tag=""MXAN_RS00500""","old_locus_tag=""MXAN_0100""","locus_tag=""MXAN_RS00500""","old_locus_tag=""MXAN_0100""",codon_start=1,transl_table=11,"protein_id=""WP_011550247.1"" ",,
gene=116590..117471,"locus_tag=""MXAN_RS00505""","old_locus_tag=""MXAN_0101""","locus_tag=""MXAN_RS00505""","old_locus_tag=""MXAN_0101""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_225909672.1"" ",
gene=117468..118238,"locus_tag=""MXAN_RS36440""","old_locus_tag=""MXAN_0102""","locus_tag=""MXAN_RS36440""","old_locus_tag=""MXAN_0102""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011550249.1"" ",
gene=118427..118753,"locus_tag=""MXAN_RS00515""","old_locus_tag=""MXAN_0103""","locus_tag=""MXAN_RS00515""","old_locus_tag=""MXAN_0103""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_020477944.1"" ",
gene=complement(118762..119688),"locus_tag=""MXAN_RS00520""","old_locus_tag=""MXAN_0104""","locus_tag=""MXAN_RS00520""","old_locus_tag=""MXAN_0104""",codon_start=1,transl_table=11,"product=""phosphotransferase family protein""","protein_id=""WP_011550251.1"" ",
gene=complement(119698..121449),"locus_tag=""MXAN_RS00525""","old_locus_tag=""MXAN_0105""","locus_tag=""MXAN_RS00525""","old_locus_tag=""MXAN_0105""",codon_start=1,transl_table=11,"product=""MDR family MFS transporter""","protein_id=""WP_011550252.1"" ",
gene=121721..123724,"locus_tag=""MXAN_RS00530""","old_locus_tag=""MXAN_0106""","locus_tag=""MXAN_RS00530""","old_locus_tag=""MXAN_0106""",codon_start=1,transl_table=11,"product=""lysyl oxidase family protein""","protein_id=""WP_011550253.1"" ",
gene=124014..125240,"locus_tag=""MXAN_RS00535""","old_locus_tag=""MXAN_0107""","locus_tag=""MXAN_RS00535""","old_locus_tag=""MXAN_0107""",codon_start=1,transl_table=11,"product=""ABC transporter permease""","protein_id=""WP_011550254.1"" ",
